method,pred_field,cross_field_contamination_rate
cluster_kmeans,Int,0.1956521739130435
cluster_kmeans,Out,0.17391304347826086
cluster_kmeans,Pop,0.375
llm_dynamic_1_shot,Int,0.016304347826086956
llm_dynamic_1_shot,Out,0.0
llm_dynamic_1_shot,Pop,0.005434782608695652
llm_dynamic_2_shot,Int,0.016304347826086956
llm_dynamic_2_shot,Out,0.0
llm_dynamic_2_shot,Pop,0.010869565217391304
llm_dynamic_3_shot,Int,0.005434782608695652
llm_dynamic_3_shot,Out,0.005434782608695652
llm_dynamic_3_shot,Pop,0.0
llm_dynamic_4_shot,Int,0.005434782608695652
llm_dynamic_4_shot,Out,0.005434782608695652
llm_dynamic_4_shot,Pop,0.0
llm_dynamic_5_shot,Int,0.005434782608695652
llm_dynamic_5_shot,Out,0.005434782608695652
llm_dynamic_5_shot,Pop,0.0
llm_zero_shot,Int,0.0
llm_zero_shot,Out,0.005434782608695652
llm_zero_shot,Pop,0.0
ml_decomposed,Int,0.005434782608695652
ml_decomposed,Out,0.005434782608695652
ml_decomposed,Pop,0.005434782608695652
ml_end_to_end,Int,0.005434782608695652
ml_end_to_end,Out,0.005434782608695652
ml_end_to_end,Pop,0.0
